"ITEM","DESC","CONTAINER","MASS","GRADE","COUNT","LOW PRICE","HIGH PRICE","AVERAGE PRICE"
"APBR","APPLE BRAEBURN","ECONOPACK (12kg)","12.00","1M","150","0","0","0.00"
"APCR","APPLE CRIPPS RED","ECONOPACK (12kg)","12.00","1M","165","64","104","80.00"
"APCR","APPLE CRIPPS RED","MARK 4 (18.3kg)","18.30","1L","110","250","270","260.00"
"APER","APPLE EARLY RED ONE","BAG/PACKET (1KG)","1.00","1M","","8","8","8.00"
"APFU","APPLE FUJI","JUMBLE PACK (9kg)","9.00","2M","","45","45","45.00"
"APFU","APPLE FUJI","MARK 4 (18.3kg)","18.30","1L","100","280","280","280.00"
"APFU","APPLE FUJI","MARK 4 (18.3kg)","18.30","1L","110","270","280","277.78"
"APFU","APPLE FUJI","MARK 4 (18.3kg)","18.30","1M","135","160","160","160.00"
"APGD","APPLE GOLDEN DELICIOUS","BAG/PACKET (1KG)","1.00","1M","","8","8","8.00"
"APGD","APPLE GOLDEN DELICIOUS","BAG/PACKET","1.50","1M","","12","12","12.00"
"APGD","APPLE GOLDEN DELICIOUS","JUMBLE (7KG)","7.00","2M","","35","35","35.00"
"APGD","APPLE GOLDEN DELICIOUS","JUMBLE PACK (9kg)","9.00","2L","","60","60","60.00"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12kg)","12.00","1M","","140","140","140.00"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12kg)","12.00","1M","150","160","186","165.65"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12kg)","12.00","1M","165","172","186","179.00"
"APGD","APPLE GOLDEN DELICIOUS","ECONOPACK (12kg)","12.00","2M","","64","120","86.32"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","1L","110","260","300","266.25"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","1M","135","290","290","290.00"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","1S","150","180","180","180.00"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","1X","90","290","290","290.00"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","2L","110","270","270","270.00"
"APGD","APPLE GOLDEN DELICIOUS","MARK 4 (18.3kg)","18.30","2M","120","50","270","267.71"
"APGS","APPLE GRANNY SMITH","JUMBLE BOX (6KG)","6.00","2M","","40","45","40.30"
"APGS","APPLE GRANNY SMITH","JUMBLE BOX (7KG)","7.00","2M","","35","35","35.00"
"APGS","APPLE GRANNY SMITH","ECONOPACK (12kg)","12.00","1M","150","96","104","100.57"
"APGS","APPLE GRANNY SMITH","MARK 4 (18.3kg)","18.30","1L","100","270","280","276.36"
"APGS","APPLE GRANNY SMITH","MARK 4 (18.3kg)","18.30","1X","80","280","280","280.00"
"APGS","APPLE GRANNY SMITH","MARK 4 (18.3kg)","18.30","1X","90","280","280","280.00"
"APOT","APPLE OTHER","BAG/PACKET (1KG)","1.00","1M","","8","8","8.00"
"APOT","APPLE OTHER","BAG/PACKET","1.50","1M","","12","12","12.00"
"APOT","APPLE OTHER","JUMBLE PACK (9kg)","9.00","2M","","50","80","62.00"
"APOT","APPLE OTHER","MARK 4 (18.3kg)","18.30","1M","84","50","50","50.00"
"APPL","APPLE PINK LADY","ECONOPACK (12kg)","12.00","2M","150","64","84","184.00"
"APPL","APPLE PINK LADY","MARK 4 (18.3kg)","18.30","1X","80","180","180","180.00"
"APRG","APPLE ROYAL GALA","MARK 4 (18.3kg)","18.30","2L","100","240","240","240.00"
"APSK","APPLE STARKING","ECONOPACK (12kg)","12.00","2M","150","186","200","186.74"
"APSK","APPLE STARKING","MARK 4 (18.3kg)","18.30","1X","80","270","280","271.25"
"APSU","APPLE SUNDOWNER","JUMBLE PACK (9kg)","9.00","2M","","40","45","40.38"
"APTR","APPLE TOP RED","JUMBLE PACK (7kg)","7.00","2M","","35","45","37.36"
"APTR","APPLE TOP RED","ECONOPACK (12kg)","12.00","2M","150","84","84","84.00"
"APTR","APPLE TOP RED","ECONOPACK (12kg)","12.00","2S","180","84","84","84.00"
"APTR","APPLE TOP RED","MARK 4 (18.3kg)","18.30","1X","80","240","240","240.00"
"APTR","APPLE TOP RED","MARK 4 (18.3kg)","18.30","1X","90","320","340","322.11"
"ASGR","Asparagus Green","Single Layer (3kg)","3.00","","","600","600","600.00"
"ASGR","Asparagus Green","Prepack Punnet (5kg)","5.00","","20","540","540","540.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1L","12","120","160","136.90"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1L","14","170","180","170.11"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1M","16","150","160","158.44"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1M","20","120","160","126.14"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1N","26","130","130","130.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1S","24","120","120","120.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","1X","8","130","130","130.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2L","12","170","180","172.86"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2L","14","170","170","170.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2M","16","170","180","171.09"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2M","18","160","160","160.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2M","20","160","160","160.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2S","22","140","160","140.15"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (4KG)","4.00","2S","24","140","180","140.26"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (9.5kg)","10.00","1M","","30","30","30.00"
"AVFU","AVOCADO FUERTE","CARTON - OPEN TOP (9.5kg)","10.00","1S","26","240","260","256.67"
"AVFU","AVOCADO FUERTE","SMALL BAG (10kg)","10.00","2M","","180","200","187.78"
"AVFU","AVOCADO FUERTE","BAG (15KG)","15.00","3S","","350","360","359.57"
"AVFU","AVOCADO FUERTE","BAG (20KG)","20.00","3M","","200","360","212.44"
"AVGE","AVOCADO GEMS","CARTON - OPEN TOP (4kg)","4.00","1L","12","90","100","92.86"
"AVGE","AVOCADO GEMS","CARTON - OPEN TOP (4kg)","4.00","1M","16","90","90","90.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1L","12","120","120","120.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1L","14","90","90","90.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1M","16","50","120","56.30"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1M","20","90","90","90.00"
"AVHA","AVOCADO HASS","CARTON - OPEN TOP (4kg)","4.00","1S","24","80","80","80.00"
"AVOT","AVOCADO OTHER","BAG (15KG)","15.00","2M","","330","330","330.00"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1M","16","90","100","96.39"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1M","20","70","70","70.00"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1S","22","70","70","70.00"
"AVPI","AVOCADO PINKERTON","CARTON - OPEN TOP (4kg)","4.00","1X","8","70","70","70.00"
"AVRI","AVOCADO RINTON","CARTON - OPEN TOP (4kg)","4.00","1L","12","130","130","130.00"
"AVRI","AVOCADO RINTON","CARTON - OPEN TOP (4kg)","4.00","1L","14","100","130","117.39"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1L","12","110","140","114.56"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1M","16","105","130","123.75"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1M","18","105","105","105.00"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1M","20","90","105","99.33"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1S","24","80","140","92.00"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","1X","10","105","130","113.07"
"AVRY","AVOCADO RYAN","CARTON - OPEN TOP (4kg)","4.00","2L","12","140","140","140.00"
"AVRY","AVOCADO RYAN","BLUE/AVO STRIPE BAG (17KG)","17.00","3L","","0","0","300.00"
"AVRY","AVOCADO RYAN","BLUE/AVO STRIPE BAG (17KG)","17.00","3M","","150","300","195.26"
"BALS","BANANAS - FINGERS","CARTON","18.00","1M","","100","100","100.00"
"BALS","BANANAS - FINGERS","CARTON","18.00","1X","","130","130","130.00"
"BANN","BANANAS","CARTON","18.00","1L","","60","180","141.16"
"BANN","BANANAS","CARTON","18.00","1M","","60","150","128.78"
"BANN","BANANAS","CARTON","18.00","1X","","150","200","170.50"
"BANN","BANANAS","CARTON","18.00","2L","","80","170","121.18"
"BANN","BANANAS","CARTON","18.00","2M","","120","140","129.06"
"BANN","BANANAS","CARTON","18.00","2S","","80","100","80.13"
"BANN","BANANAS","CARTON","18.00","2X","","140","180","151.24"
"BANN","BANANAS","CARTON","18.00","3L","","90","90","90.00"
"BCMI","Broccoli & Cauli Mix","Prepack Punnet (5kg)","5.00","","","100","100","100.00"
"BCMI","Broccoli & Cauli Mix","Prepack Punnet (5kg)","5.00","","10","100","150","132.41"
"BCOC","Broccoli","BOX (10 X 400G)","4.00","","","120","120","120.00"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","","20","180","62.57"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","10","100","150","129.19"
"BCOC","Broccoli","Prepack Punnet (5kg)","5.00","","15","75","120","94.41"
"BCOC","Broccoli","PREPACK PACKETS (6KG)","6.00","","","128","192","154.95"
"BEGR","Green Beans","Prepack Punnet (2kg)","2.00","","","360","360","360.00"
"BEGR","Green Beans","Box (4kg)","4.00","","","50","65","59.38"
"BEGR","Green Beans","BOX (5KG)","5.00","","","50","150","89.53"
"BNBA","Butternuts Baby","Box (10kg)","10.00","1","","200","400","250.00"
"BNUT","Butternuts","SMALL BAG (3KG)","3.00","1M","","30","30","30.00"
"BNUT","Butternuts","BAG (6KG)","6.00","1M","","20","20","20.00"
"BNUT","Butternuts","Bag (7kg)","7.00","1M","","30","77","41.32"
"BNUT","Butternuts","Bag (7kg)","7.00","1Z","","77","84","77.05"
"BNUT","Butternuts","Bag (10kg)","10.00","1L","","80","120","108.53"
"BNUT","Butternuts","Bag (10kg)","10.00","1M","","80","130","118.40"
"BNUT","Butternuts","Bag (10kg)","10.00","1S","","60","100","95.82"
"BNUT","Butternuts","Bag (10kg)","10.00","2L","","80","130","119.76"
"BNUT","Butternuts","Bag (10kg)","10.00","2M","","70","120","73.86"
"BRIN","Brinjals","Tomato box (4kg)","4.00","","","50","120","102.31"
"BRIN","Brinjals","Tomato box (5kg)","5.00","","","80","120","96.00"
"BRIN","Brinjals","Tomato box (5kg)","5.00","1","","100","150","122.14"
"BRIN","Brinjals","Tomato box (5kg)","5.00","1M","","80","80","80.00"
"BRIN","Brinjals","Tomato box (5kg)","5.00","2","","60","120","74.40"
"BSPR","Brussel Sprouts","PREPACK PACKETS (6KG)","6.00","","","240","280","242.76"
"BTRT","Beetroot","Bag (5kg)","5.00","1S","","40","50","43.10"
"BTRT","Beetroot","Bag (5kg)","5.00","1X","","50","50","50.00"
"BTRT","Beetroot","Bag - Thrift Pack (10kg)","10.00","","","120","140","126.31"
"BTRT","Beetroot","Bag - Thrift Pack (10kg)","10.00","1L","","100","100","100.00"
"BTRT","Beetroot","Pocket (10kg)","10.00","1L","","80","80","80.00"
"BTRT","Beetroot","Bag - Thrift Pack (10kg)","10.00","1M","","70","100","75.79"
"BTRT","Beetroot","Bag - Thrift Pack (10kg)","10.00","1S","","50","50","50.00"
"BYBL","BLUEBERRIES","CARTON (12 X 125G)","1.50","","","120","180","139.70"
"BYBL","BLUEBERRIES","BOX 3KG (PREPACK PUNNETS)","3.00","","","450","480","471.00"
"BYGO","GOOSEBERRIES","CARTON (12 X 125G)","1.50","","","1","240","220.08"
"BYRA","RASPBERRIES","CARTON (12 X 125G)","1.50","","","180","240","189.60"
"BYST","STRAWBERRIES","PREPACK PUNNETS BOX (2.5KG)","2.50","","","50","150","119.10"
"BYST","STRAWBERRIES","BOX (16 X 250G PUNNETS)","4.00","","","80","256","173.05"
"BYST","STRAWBERRIES","20 X 250G PUNNETS (TRAY)","5.00","","","240","300","268.13"
"CABY","Cabbage Baby","Prepack Punnet (5kg)","5.00","","","96","96","96.00"
"CABY","Cabbage Baby","Prepack Punnet (10kg)","10.00","","20","300","300","300.00"
"CACH","Cabbage Chinese","Box (6kg)","6.00","","","100","120","104.00"
"CADH","CABBAGE DRUMHEAD","Each (1kg)","1.00","","","8","18","13.79"
"CADH","CABBAGE DRUMHEAD","Box (6kg)","6.00","","","15","42","34.50"
"CADH","CABBAGE DRUMHEAD","Decon (25kg)","25.00","","","25","100","56.14"
"CADH","CABBAGE DRUMHEAD","SUGAR POCKET (25KG)","25.00","","","20","60","42.86"
"CADH","CABBAGE DRUMHEAD","SUGAR POCKET (30KG)","30.00","","","30","70","38.75"
"CADH","CABBAGE DRUMHEAD","Bin (250kg)","250.00","","","320","1,920","769.75"
"CAPC","Cabbage Pak Choi","Prepack Punnet (5kg)","5.00","","","180","180","180.00"
"CAPC","Cabbage Pak Choi","Box (6kg)","6.00","","","30","30","30.00"
"CARE","Cabbage Red","Prepack Punnet (5kg)","5.00","","12","120","120","120.00"
